Country,Expenditure,Population,NegPopulation
United States,10623.85,331002651.00,-331002651.00
Switzerland,9870.66,8654622.00,-8654622.00
Norway,8239.10,5421241.00,-5421241.00
Iceland,6530.93,341243.00,-341243.00
Luxembourg,6227.08,625978.00,-625978.00
Denmark,6216.77,5792202.00,-5792202.00
Sweden,5981.71,10099265.00,-10099265.00
Ireland,5489.07,4937786.00,-4937786.00
Germany,5472.20,83783942.00,-83783942.00
Australia,5425.34,25499884.00,-25499884.00
Austria,5326.44,9006398.00,-9006398.00
Benin,30.94,12123200.00,-12123200.00
Niger,30.36,206139589.00,-206139589.00
Chad,29.24,16425864.00,-16425864.00
South Sudan,26.79,11193725.00,-11193725.00
Ethiopia,24.23,114963588.00,-114963588.00
Burundi,24.03,11890784.00,-11890784.00
Eritrea,23.79,3546421.00,-3546421.00
"Gambia, The",22.16,2416668.00,-2416668.00
Madagascar,22.05,27691018.00,-27691018.00
"Congo, Dem. Rep.",18.51,5518087.00,-5518087.00
